u,v,name,highway,length,geometry_wkt
371967868,371967871,,pedestrian,14.617049783590712,"LINESTRING (144.9714761 -37.8071483, 144.9716163 -37.8072188)"
371967871,371967873,,pedestrian,14.461355754349492,"LINESTRING (144.9716163 -37.8072188, 144.971753 -37.807291)"
767594381,767594382,,pedestrian,11.380439559980205,"LINESTRING (144.9709786 -37.8071275, 144.9709445 -37.8070286)"
176721287,6167265879,Bourke Street,pedestrian,86.52676350143493,"LINESTRING (144.9666697 -37.8132189, 144.9657474 -37.8134879)"
6167265879,2383211219,Bourke Street,pedestrian,9.330878301089854,"LINESTRING (144.9657474 -37.8134879, 144.9656489 -37.8135189)"
2383211219,2188339982,Bourke Street,pedestrian,1.5843812377867195,"LINESTRING (144.9656489 -37.8135189, 144.965632 -37.8135238)"
580890024,6167357876,Treasury Place,pedestrian,6.404918783392235,"LINESTRING (144.9741728 -37.8136112, 144.9742402 -37.8135895)"
6167357876,8998978577,Treasury Place,pedestrian,12.426448896364361,"LINESTRING (144.9742402 -37.8135895, 144.9743737 -37.8135532)"
6167254935,6721914086,,footway,8.657438777898374,"LINESTRING (144.9746566 -37.8151954, 144.9747515 -37.815175)"
6721914086,1449431588,,footway,1.6571139030373825,"LINESTRING (144.9747515 -37.815175, 144.9747697 -37.8151712)"
1449431588,1449431258,,footway,3.334089229165965,"LINESTRING (144.9747697 -37.8151712, 144.9748063 -37.8151635)"
1449431258,1449431581,,footway,1.8018358268063248,"LINESTRING (144.9748063 -37.8151635, 144.9748261 -37.8151594)"
1449431581,1449431373,,footway,4.04346974988458,"LINESTRING (144.9748261 -37.8151594, 144.9748705 -37.8151501)"
1449431373,583242777,,footway,5.7544995773337595,"LINESTRING (144.9748705 -37.8151501, 144.9749337 -37.8151369)"
588197218,588197266,,footway,3.078010533677071,"LINESTRING (144.9737634 -37.8121665, 144.9737333 -37.8121524)"
588197266,714681789,,footway,0.12978713876182463,"LINESTRING (144.9737333 -37.8121524, 144.9737338 -37.8121513)"
714681789,588197279,,footway,2.9060591051954123,"LINESTRING (144.9737338 -37.8121513, 144.9737451 -37.8121267)"
588198714,13187674090,Carpentaria Place,pedestrian,20.310947924545413,"LINESTRING (144.9736344 -37.8122401, 144.9738516 -37.8121785)"
8998978785,8998978786,Carpentaria Place,pedestrian,17.98317157508354,"LINESTRING (144.9739545 -37.8122122, 144.973763 -37.8122685)"
8998978786,588198771,Carpentaria Place,pedestrian,2.255471370295799,"LINESTRING (144.973763 -37.8122685, 144.973739 -37.8122756)"
588198771,8998978791,Carpentaria Place,pedestrian,1.2155058329239559,"LINESTRING (144.973739 -37.8122756, 144.9737262 -37.8122797)"
8998978791,588198775,Carpentaria Place,pedestrian,6.302746889278212,"LINESTRING (144.9737262 -37.8122797, 144.9736599 -37.8123011)"
588198775,8998978735,Carpentaria Place,pedestrian,3.168191427226764,"LINESTRING (144.9736599 -37.8123011, 144.9736486 -37.812274)"
8998978735,588198714,Carpentaria Place,pedestrian,3.964951663544465,"LINESTRING (144.9736486 -37.812274, 144.9736344 -37.8122401)"
589036053,589036060,Cohen Place Plaza,pedestrian,18.161660443269753,"LINESTRING (144.9692821 -37.8112759, 144.969211 -37.8111223)"
589036060,589036063,Cohen Place Plaza,pedestrian,12.58446318117598,"LINESTRING (144.969211 -37.8111223, 144.9693451 -37.8110831)"
589036063,589036067,Cohen Place Plaza,pedestrian,18.30101397427628,"LINESTRING (144.9693451 -37.8110831, 144.9694135 -37.8112388)"
589036067,589036053,Cohen Place Plaza,pedestrian,12.281522184426095,"LINESTRING (144.9694135 -37.8112388, 144.9692821 -37.8112759)"
588198771,589396090,,footway,1.9110109232420918,"LINESTRING (144.973739 -37.8122756, 144.9737452 -37.8122921)"
589396090,589396092,,footway,1.0069116534861504,"LINESTRING (144.9737452 -37.8122921, 144.9737559 -37.8122889)"
589396406,589396597,,footway,4.363041236932022,"LINESTRING (144.9738156 -37.8122703, 144.9738619 -37.8122563)"
6167359489,589397201,,footway,1.3800958972738806,"LINESTRING (144.9737997 -37.8126369, 144.9738153 -37.8126357)"
